Name,Operatingsystem,Environment,Compute Resource Or Model,Hostgroup,Last Report
ws-rsk-015-012.corp.gidroogk.com,RedHat 7.5,production,To be filled by O.E.M.,Workstations/GRVKK-KAMGES,2023-08-09 10:15:07 UTC
ws-rsk-015-013.corp.gidroogk.com,RedHat 7.5,production,System Product Name,Workstations/GRVKK-KAMGES,2023-08-09 10:14:09 UTC
ws-rsk-015-008.corp.gidroogk.com,RedHat 7.5,production,System Product Name,Workstations/GRVKK-KAMGES,2023-08-09 10:19:00 UTC
ws-rsk-015-009.corp.gidroogk.com,RedHat 7.5,production,System Product Name,Workstations/GRVKK-KAMGES,2023-08-09 10:26:32 UTC
ws-rsk-015-014.corp.gidroogk.com,RedHat 7.5,production,H510M S2H V2,Workstations/GRVKK-KAMGES,2023-08-09 10:13:52 UTC
ws-rsk-015-010.corp.gidroogk.com,RedHat 7.5,production,System Product Name,Workstations/GRVKK-KAMGES,2023-08-09 10:29:26 UTC
ws-rsk-015-003.corp.gidroogk.com,RedHat 7.5,production,H61H2-M6,Workstations/GRVKK-KAMGES,2023-08-09 10:31:27 UTC
ws-rsk-015-004.corp.gidroogk.com,RedHat 7.5,production,B460M GAMING HD,Workstations/GRVKK-KAMGES,2023-08-04 10:25:53 UTC
ws-rsk-015-005.corp.gidroogk.com,RedHat 7.5,production,System Product Name,Workstations/GRVKK-KAMGES,2023-08-09 10:16:36 UTC
ws-rsk-015-001.corp.gidroogk.com,RedHat 7.5,production,B460M GAMING HD,Workstations/GRVKK-KAMGES,2023-08-09 10:15:25 UTC
ws-rsk-015-015.corp.gidroogk.com,RedHat 7.5,production,313,Workstations/GRVKK-KAMGES,2023-08-09 10:23:02 UTC
