Name,Operatingsystem,Environment,Compute Resource Or Model,Hostgroup,Last Report
ws-kamges-788.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:16:27 UTC
ws-kamges-852.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:31:14 UTC
ws-kamges-746.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-04 10:39:11 UTC
ws-kamges-854.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:13:56 UTC
ws-kamges-816.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:32:22 UTC
ws-kamges-724.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:21:56 UTC
ws-kamges-840.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:25:10 UTC
ws-kamges-628.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-06-21 02:51:57 UTC
ws-kamges-826.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-03 11:51:55 UTC
ws-kamges-848.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:41:04 UTC
ws-kamges-761.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:31:43 UTC
ws-kamges-760.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-07-05 11:39:54 UTC
ws-kamges-849.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:38:40 UTC
ws-kamges-779.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:29:51 UTC
ws-kamges-841.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:34:53 UTC
ws-kamges-721.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:15:28 UTC
ws-kamges-815.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:33:43 UTC
ws-kamges-793.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:35:59 UTC
ws-kamges-850.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:14:24 UTC
ws-kamges-819.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:15:52 UTC
ws-kamges-847.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:30:22 UTC
ws-kamges-814.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:21:04 UTC
ws-kamges-827.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:14:07 UTC
ws-kamges-817.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:27:07 UTC
ws-kamges-844.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:19:50 UTC
ws-kamges-645.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:14:36 UTC
ws-kamges-660.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:34:37 UTC
ws-kamges-806.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:32:28 UTC
ws-kamges-617.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:19:25 UTC
ws-kamges-774.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:30:28 UTC
ws-kamges-829.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:30:08 UTC
ws-kamges-759.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:23:10 UTC
ws-kamges-836.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:24:41 UTC
ws-kamges-762.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:25:50 UTC
ws-kamges-809.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:30:23 UTC
ws-kamges-743.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:24:41 UTC
ws-kamges-872.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:20:21 UTC
ws-kamges-822.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G2 MINI,Workstations/KAMGES,2023-08-09 10:41:10 UTC
ws-kamges-754.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:28:12 UTC
ws-kamges-843.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-01 10:46:12 UTC
ws-kamges-663.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:27:43 UTC
ws-kamges-855.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:14:57 UTC
ws-kamges-661.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:36:41 UTC
ws-kamges-757.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:13:49 UTC
ws-kamges-651.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:31:09 UTC
ws-kamges-839.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:31:54 UTC
ws-kamges-650.corp.gidroogk.com,RedHat 7.5,production,HP Compaq Elite 8300 SFF,Workstations/KAMGES,2023-08-09 10:29:30 UTC
ws-kamges-804.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G4 DM,Workstations/KAMGES,2023-08-09 10:30:36 UTC
ws-kamges-753.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:12:25 UTC
ws-kamges-851.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:26:50 UTC
ws-kamges-838.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:37:57 UTC
ws-kamges-875.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 490 G2 MT,Workstations/KAMGES,2023-07-21 10:25:46 UTC
ws-kamges-792.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-04 10:48:28 UTC
ws-kamges-876.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:22:46 UTC
ws-kamges-853.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-07-24 02:15:28 UTC
ws-kamges-833.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 DM,Workstations/KAMGES,2023-08-09 10:32:59 UTC
ws-kamges-744.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-09 10:29:13 UTC
ws-kamges-842.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G5 Desktop Mini,Workstations/KAMGES,2023-08-09 10:15:51 UTC
ws-kamges-878.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:22:44 UTC
ws-kamges-864.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G3 MT,Workstations/KAMGES,2023-08-04 10:26:20 UTC
ws-kamges-879.corp.gidroogk.com,RedHat 7.5,production,HP ProDesk 400 G6 Desktop Mini PC,Workstations/KAMGES,2023-08-09 10:34:32 UTC
